"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M7" "cyanopeptolin984" "1" "M5" "oscillapeptinE" "1" 70.213 47 14 0 1 47 1 47 2.75e-19 62.4
"M7" "cyanopeptolin984" "26" "M5" "oscillapeptinE" "26" 59.574 47 19 0 1 47 1 47 2.23e-16 55.1
"M7" "cyanopeptolin984" "51" "M5" "oscillapeptinE" "51" 45.833 48 24 2 3 48 3 50 2.77e-08 34.7
"M7" "cyanopeptolin984" "76" "M5" "oscillapeptinE" "76" 38.095 42 26 0 9 50 8 49 1.08e-06 30.4
"M7" "cyanopeptolin984" "101" "M5" "oscillapeptinE" "101" 51.111 45 22 0 5 49 4 48 9.47e-17 55.8
"M7" "cyanopeptolin984" "126" "M5" "oscillapeptinE" "126" 52.083 48 23 0 3 50 2 49 4.31e-16 54.3
"M7" "cyanopeptolin984" "151" "M5" "oscillapeptinE" "151" 59.184 49 20 0 2 50 1 49 3.74e-19 62
"M7" "cyanopeptolin984" "176" "M5" "oscillapeptinE" "176" 66.667 48 16 0 2 49 1 48 7.32e-24 73.9
"M7" "cyanopeptolin984" "201" "M5" "oscillapeptinE" "201" 52.083 48 23 0 3 50 2 49 6.14e-15 51.2
"M7" "cyanopeptolin984" "226" "M5" "oscillapeptinE" "226" 55.102 49 22 0 2 50 1 49 1e-15 53.1
"M7" "cyanopeptolin984" "251" "M5" "oscillapeptinE" "251" 64.583 48 17 0 2 49 1 48 6.94e-21 66.2
"M7" "cyanopeptolin984" "276" "M5" "oscillapeptinE" "276" 61.224 49 19 0 2 50 1 49 1.4e-21 68.2
"M7" "cyanopeptolin984" "301" "M5" "oscillapeptinE" "301" 69.388 49 15 0 2 50 1 49 1.37e-23 73.2
"M7" "cyanopeptolin984" "326" "M5" "oscillapeptinE" "326" 66.667 48 16 0 2 49 1 48 5.03e-22 69.3
"M7" "cyanopeptolin984" "351" "M5" "oscillapeptinE" "351" 41.667 48 27 1 3 50 2 48 1.55e-11 42.7
"M7" "cyanopeptolin984" "376" "M5" "oscillapeptinE" "376" 44.444 45 25 0 6 50 4 48 1.95e-12 45.1
"M7" "cyanopeptolin984" "401" "M5" "oscillapeptinE" "401" 46.809 47 25 0 3 49 1 47 4.75e-12 43.9
"M7" "cyanopeptolin984" "426" "M5" "oscillapeptinE" "426" 56.25 48 21 0 3 50 1 48 8.1e-18 58.5
"M7" "cyanopeptolin984" "451" "M5" "oscillapeptinE" "451" 68.75 48 15 0 3 50 1 48 6.66e-23 71.6
"M7" "cyanopeptolin984" "476" "M5" "oscillapeptinE" "476" 81.25 48 9 0 3 50 1 48 5.99e-27 81.6
"M7" "cyanopeptolin984" "476" "M5" "oscillapeptinE" "476" 38.462 13 8 0 2 14 35 47 1 15
"M7" "cyanopeptolin984" "501" "M5" "oscillapeptinE" "501" 97.917 48 1 0 3 50 1 48 2.43e-32 95.1
"M7" "cyanopeptolin984" "526" "M5" "oscillapeptinE" "526" 95.745 47 2 0 3 49 1 47 1.25e-31 93.6
"M7" "cyanopeptolin984" "551" "M5" "oscillapeptinE" "551" 89.583 48 5 0 3 50 1 48 1.01e-29 88.6
"M7" "cyanopeptolin984" "576" "M5" "oscillapeptinE" "576" 95.833 48 2 0 3 50 1 48 1.36e-32 95.9
"M7" "cyanopeptolin984" "601" "M5" "oscillapeptinE" "601" 100 48 0 0 3 50 1 48 1.96e-33 97.8
"M7" "cyanopeptolin984" "626" "M5" "oscillapeptinE" "626" 100 48 0 0 3 50 1 48 4.49e-34 99.8
"M7" "cyanopeptolin984" "651" "M5" "oscillapeptinE" "651" 97.917 48 1 0 3 50 1 48 5.81e-31 91.7
"M7" "cyanopeptolin984" "676" "M5" "oscillapeptinE" "676" 95.833 48 2 0 3 50 1 48 1.07e-29 88.6
"M7" "cyanopeptolin984" "701" "M5" "oscillapeptinE" "701" 97.917 48 1 0 3 50 1 48 2.31e-33 97.8
"M7" "cyanopeptolin984" "726" "M5" "oscillapeptinE" "726" 100 48 0 0 3 50 1 48 8.69e-34 99
"M7" "cyanopeptolin984" "751" "M5" "oscillapeptinE" "751" 100 48 0 0 3 50 1 48 1.81e-33 98.2
"M7" "cyanopeptolin984" "776" "M5" "oscillapeptinE" "776" 100 48 0 0 3 50 1 48 5.88e-33 96.7
"M7" "cyanopeptolin984" "801" "M5" "oscillapeptinE" "801" 97.917 48 1 0 3 50 1 48 1.56e-32 95.9
"M7" "cyanopeptolin984" "826" "M5" "oscillapeptinE" "826" 93.75 48 3 0 3 50 1 48 1.21e-30 90.9
"M7" "cyanopeptolin984" "851" "M5" "oscillapeptinE" "851" 87.5 48 6 0 3 50 1 48 2.55e-29 87.8
"M7" "cyanopeptolin984" "876" "M5" "oscillapeptinE" "876" 78.723 47 10 0 3 49 1 47 1.24e-26 80.9
"M7" "cyanopeptolin984" "901" "M5" "oscillapeptinE" "901" 62.5 48 18 0 3 50 1 48 2.73e-21 67.4
"M7" "cyanopeptolin984" "926" "M5" "oscillapeptinE" "926" 67.391 46 15 0 4 49 2 47 1.28e-20 65.9
