"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M7" "micropeptin139" "1" "M5" "micropeptinK139" "1" 62 50 19 0 1 50 1 50 5.64e-18 58.9
"M7" "micropeptin139" "26" "M5" "micropeptinK139" "26" 55.319 47 21 0 1 47 1 47 9.5e-16 53.5
"M7" "micropeptin139" "51" "M5" "micropeptinK139" "51" 39.583 48 28 1 3 50 3 49 1.73e-08 35
"M7" "micropeptin139" "76" "M5" "micropeptinK139" "76" 40.476 42 25 0 9 50 8 49 1.45e-07 32.7
"M7" "micropeptin139" "101" "M5" "micropeptinK139" "101" 51.111 45 22 0 5 49 4 48 8.24e-16 53.5
"M7" "micropeptin139" "126" "M5" "micropeptinK139" "126" 56.25 48 21 0 3 50 2 49 4.28e-18 59.3
"M7" "micropeptin139" "151" "M5" "micropeptinK139" "151" 63.265 49 18 0 2 50 1 49 2.29e-21 67.4
"M7" "micropeptin139" "176" "M5" "micropeptinK139" "176" 64.583 48 17 0 2 49 1 48 3.31e-22 69.7
"M7" "micropeptin139" "201" "M5" "micropeptinK139" "201" 51.064 47 23 0 4 50 3 49 1.5e-13 47.8
"M7" "micropeptin139" "226" "M5" "micropeptinK139" "226" 55.102 49 22 0 2 50 1 49 1.03e-15 53.1
"M7" "micropeptin139" "251" "M5" "micropeptinK139" "251" 64.583 48 17 0 2 49 1 48 9.34e-21 65.9
"M7" "micropeptin139" "276" "M5" "micropeptinK139" "276" 61.224 49 19 0 2 50 1 49 2.03e-21 67.8
"M7" "micropeptin139" "301" "M5" "micropeptinK139" "301" 69.388 49 15 0 2 50 1 49 2.89e-23 72.4
"M7" "micropeptin139" "301" "M5" "micropeptinK139" "301" 50 8 4 0 1 8 41 48 8 13.1
"M7" "micropeptin139" "326" "M5" "micropeptinK139" "326" 66.667 48 16 0 2 49 1 48 1.98e-21 67.8
"M7" "micropeptin139" "351" "M5" "micropeptinK139" "351" 41.667 48 27 1 3 50 2 48 6.75e-11 41.2
"M7" "micropeptin139" "376" "M5" "micropeptinK139" "376" 44.444 45 25 0 6 50 4 48 1.95e-12 45.1
"M7" "micropeptin139" "401" "M5" "micropeptinK139" "401" 46.809 47 25 0 3 49 1 47 5.85e-12 43.9
"M7" "micropeptin139" "426" "M5" "micropeptinK139" "426" 60.417 48 19 0 3 50 1 48 5.26e-19 61.6
"M7" "micropeptin139" "451" "M5" "micropeptinK139" "451" 89.583 48 5 0 3 50 1 48 3.48e-30 89.7
"M7" "micropeptin139" "476" "M5" "micropeptinK139" "476" 100 48 0 0 3 50 1 48 8.69e-34 99
"M7" "micropeptin139" "501" "M5" "micropeptinK139" "501" 100 48 0 0 3 50 1 48 6.49e-33 96.7
"M7" "micropeptin139" "526" "M5" "micropeptinK139" "526" 100 48 0 0 3 50 1 48 7.13e-34 99
"M7" "micropeptin139" "551" "M5" "micropeptinK139" "551" 100 48 0 0 3 50 1 48 1.39e-33 98.2
"M7" "micropeptin139" "576" "M5" "micropeptinK139" "576" 100 48 0 0 3 50 1 48 1e-33 98.6
"M7" "micropeptin139" "601" "M5" "micropeptinK139" "601" 100 48 0 0 3 50 1 48 1.96e-33 97.8
"M7" "micropeptin139" "626" "M5" "micropeptinK139" "626" 100 48 0 0 3 50 1 48 4.49e-34 99.8
"M7" "micropeptin139" "651" "M5" "micropeptinK139" "651" 100 48 0 0 3 50 1 48 2.81e-31 92.4
"M7" "micropeptin139" "676" "M5" "micropeptinK139" "676" 100 48 0 0 3 50 1 48 1.37e-30 90.9
"M7" "micropeptin139" "701" "M5" "micropeptinK139" "701" 100 48 0 0 3 50 1 48 6.53e-34 99.4
"M7" "micropeptin139" "726" "M5" "micropeptinK139" "726" 100 48 0 0 3 50 1 48 8.69e-34 99
"M7" "micropeptin139" "751" "M5" "micropeptinK139" "751" 100 48 0 0 3 50 1 48 1.81e-33 98.2
"M7" "micropeptin139" "776" "M5" "micropeptinK139" "776" 100 48 0 0 3 50 1 48 8.93e-33 96.3
"M7" "micropeptin139" "801" "M5" "micropeptinK139" "801" 100 48 0 0 3 50 1 48 3.79e-33 97.4
"M7" "micropeptin139" "826" "M5" "micropeptinK139" "826" 100 48 0 0 3 50 1 48 2.79e-33 97.4
"M7" "micropeptin139" "851" "M5" "micropeptinK139" "851" 91.667 48 4 0 3 50 1 48 1.59e-31 93.2
"M7" "micropeptin139" "876" "M5" "micropeptinK139" "876" 80.851 47 9 0 3 49 1 47 1.35e-26 80.9
"M7" "micropeptin139" "901" "M5" "micropeptinK139" "901" 64.583 48 17 0 3 50 1 48 1.25e-21 68.2
"M7" "micropeptin139" "926" "M5" "micropeptinK139" "926" 65.957 47 16 0 3 49 1 47 5.27e-21 66.6
"M7" "micropeptin139" "951" "M5" "micropeptinK139" "951" 50 48 23 1 3 50 1 47 1.11e-14 50.8
"M7" "micropeptin139" "976" "M5" "micropeptinK139" "976" 56.098 41 18 0 7 47 4 44 1.75e-17 57.8
"M7" "micropeptin139" "1001" "M5" "micropeptinK139" "1001" 45.652 46 25 0 5 50 2 47 2.15e-14 50.1
"M7" "micropeptin139" "1026" "M5" "micropeptinK139" "1026" 40.741 27 12 1 12 34 9 35 0.004 21.2
