"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M2" "speudospumigin" "1" "M1" "nostopeptolide" "1" 34.043 47 31 0 4 50 1 47 1.6e-06 30
"M2" "speudospumigin" "26" "M1" "nostopeptolide" "26" 32.143 28 19 0 9 36 6 33 2.93e-06 29.3
"M2" "speudospumigin" "51" "M1" "nostopeptolide" "51" 28.889 45 31 1 4 48 1 44 0.072 18.1
"M2" "speudospumigin" "101" "M1" "nostopeptolide" "101" 22.5 40 31 0 10 49 2 41 0.012 20
"M2" "speudospumigin" "126" "M1" "nostopeptolide" "126" 25.581 43 28 1 10 48 2 44 0.004 21.6
"M2" "speudospumigin" "176" "M1" "nostopeptolide" "176" 33.333 24 16 0 13 36 17 40 0.19 16.9
"M2" "speudospumigin" "226" "M1" "nostopeptolide" "226" 37.037 27 17 0 22 48 24 50 3.76e-05 26.6
"M2" "speudospumigin" "251" "M1" "nostopeptolide" "251" 36 50 30 1 1 50 3 50 8.1e-08 33.5
"M2" "speudospumigin" "276" "M1" "nostopeptolide" "276" 20 40 32 0 11 50 11 50 0.15 17.3
"M2" "speudospumigin" "276" "M1" "nostopeptolide" "276" 30 20 13 1 22 40 1 20 4.5 13.5
"M2" "speudospumigin" "401" "M1" "nostopeptolide" "401" 57.895 38 16 0 1 38 12 49 7.95e-13 46.2
"M2" "speudospumigin" "426" "M1" "nostopeptolide" "426" 61.538 39 15 0 1 39 12 50 4.63e-14 49.3
"M2" "speudospumigin" "451" "M1" "nostopeptolide" "451" 66.667 39 13 0 1 39 12 50 4.8e-17 56.6
"M2" "speudospumigin" "476" "M1" "nostopeptolide" "476" 79.487 39 8 0 1 39 12 50 1.07e-19 63.5
"M2" "speudospumigin" "501" "M1" "nostopeptolide" "501" 79.487 39 8 0 1 39 12 50 5.98e-20 63.9
"M2" "speudospumigin" "526" "M1" "nostopeptolide" "526" 89.744 39 4 0 1 39 12 50 3.96e-24 74.7
"M2" "speudospumigin" "551" "M1" "nostopeptolide" "551" 79.487 39 8 0 1 39 12 50 4.61e-22 69.3
"M2" "speudospumigin" "576" "M1" "nostopeptolide" "576" 71.795 39 11 0 1 39 12 50 1.11e-18 60.8
"M2" "speudospumigin" "601" "M1" "nostopeptolide" "601" 87.179 39 5 0 1 39 12 50 1.3e-23 73.2
"M2" "speudospumigin" "626" "M1" "nostopeptolide" "626" 84.615 39 6 0 1 39 12 50 1.33e-22 70.9
"M2" "speudospumigin" "651" "M1" "nostopeptolide" "651" 87.179 39 5 0 1 39 12 50 7.15e-22 68.9
"M2" "speudospumigin" "676" "M1" "nostopeptolide" "676" 79.487 39 8 0 1 39 12 50 1.66e-19 62.8
"M2" "speudospumigin" "701" "M1" "nostopeptolide" "701" 84.615 39 6 0 1 39 12 50 1.14e-22 70.9
"M2" "speudospumigin" "726" "M1" "nostopeptolide" "726" 84.615 39 6 0 1 39 12 50 2.62e-23 72.4
"M2" "speudospumigin" "751" "M1" "nostopeptolide" "751" 82.051 39 7 0 1 39 12 50 2.7e-21 67.4
"M2" "speudospumigin" "776" "M1" "nostopeptolide" "776" 82.051 39 7 0 1 39 12 50 1.1e-21 68.6
"M2" "speudospumigin" "801" "M1" "nostopeptolide" "801" 75 32 8 0 1 32 12 43 1.1e-15 53.1
"M2" "speudospumigin" "826" "M1" "nostopeptolide" "826" 93.75 16 1 0 7 22 35 50 6.23e-08 33.5
"M2" "speudospumigin" "851" "M1" "nostopeptolide" "851" 86.364 22 3 0 1 22 29 50 6.83e-11 41.2
"M2" "speudospumigin" "876" "M1" "nostopeptolide" "876" 45.455 22 12 0 1 22 29 50 3.3e-05 26.6
"M2" "speudospumigin" "901" "M1" "nostopeptolide" "901" 59.091 22 9 0 1 22 29 50 3.15e-07 32
"M2" "speudospumigin" "926" "M1" "nostopeptolide" "926" 72.727 22 6 0 1 22 29 50 5.31e-10 38.9
"M2" "speudospumigin" "951" "M1" "nostopeptolide" "951" 63.636 22 8 0 1 22 29 50 1.22e-06 30.4
"M2" "speudospumigin" "976" "M1" "nostopeptolide" "976" 63.636 22 8 0 1 22 29 50 5.52e-08 33.9
"M2" "speudospumigin" "1001" "M1" "nostopeptolide" "1001" 90.476 21 2 0 1 21 29 49 6.47e-11 41.2
"M2" "speudospumigin" "1026" "M1" "nostopeptolide" "1026" 65 20 7 0 3 22 31 50 0.000425 23.1
