"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M7" "mojavensin" "426" "M6" "mojavensin" "426" 50 40 20 0 11 50 11 50 1.88e-12 45.4
"M7" "mojavensin" "451" "M6" "mojavensin" "451" 62 50 19 0 1 50 1 50 1.35e-20 65.9
"M7" "mojavensin" "476" "M6" "mojavensin" "476" 70 50 15 0 1 50 1 50 8.32e-24 73.9
"M7" "mojavensin" "501" "M6" "mojavensin" "501" 88 50 6 0 1 50 1 50 4.85e-31 92.4
"M7" "mojavensin" "526" "M6" "mojavensin" "526" 85.106 47 7 0 1 47 1 47 3.1e-28 85.1
"M7" "mojavensin" "551" "M6" "mojavensin" "551" 62 50 19 0 1 50 1 50 1.72e-20 65.9
"M7" "mojavensin" "576" "M6" "mojavensin" "576" 73.469 49 13 0 2 50 2 50 4.12e-24 74.7
"M7" "mojavensin" "601" "M6" "mojavensin" "601" 82 50 9 0 1 50 1 50 7.33e-30 89.4
"M7" "mojavensin" "626" "M6" "mojavensin" "626" 80 50 10 0 1 50 1 50 1.49e-30 91.3
"M7" "mojavensin" "651" "M6" "mojavensin" "651" 74 50 13 0 1 50 1 50 1.07e-25 79
"M7" "mojavensin" "676" "M6" "mojavensin" "676" 77.551 49 11 0 2 50 2 50 2.6e-26 80.5
"M7" "mojavensin" "701" "M6" "mojavensin" "701" 78 50 11 0 1 50 1 50 1.27e-27 83.6
"M7" "mojavensin" "726" "M6" "mojavensin" "726" 86 50 7 0 1 50 1 50 5.85e-31 92
"M7" "mojavensin" "751" "M6" "mojavensin" "751" 88 50 6 0 1 50 1 50 2.46e-31 93.2
"M7" "mojavensin" "776" "M6" "mojavensin" "776" 80 50 10 0 1 50 1 50 2.56e-27 82.8
"M7" "mojavensin" "801" "M6" "mojavensin" "801" 74 50 13 0 1 50 1 50 1.48e-26 80.9
"M7" "mojavensin" "826" "M6" "mojavensin" "826" 82 50 9 0 1 50 1 50 1.2e-29 89
"M7" "mojavensin" "851" "M6" "mojavensin" "851" 68 50 16 0 1 50 1 50 6.93e-23 71.6
"M7" "mojavensin" "876" "M6" "mojavensin" "876" 40 50 30 0 1 50 1 50 4.52e-13 47
"M7" "mojavensin" "901" "M6" "mojavensin" "901" 56 50 22 0 1 50 1 50 1.93e-22 70.9
"M7" "mojavensin" "926" "M6" "mojavensin" "926" 68 50 16 0 1 50 1 50 4.45e-24 74.7
"M7" "mojavensin" "951" "M6" "mojavensin" "951" 54 50 23 0 1 50 1 50 4.04e-18 59.7
"M7" "mojavensin" "976" "M6" "mojavensin" "976" 39.583 48 29 0 1 48 1 48 1.58e-12 45.8
"M7" "mojavensin" "1001" "M6" "mojavensin" "1001" 26.531 49 36 0 1 49 1 49 3e-07 32.3
